pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,21,3,-1,,1587,0.6824196597353223,0.7358546558871831,824,-0.6111650485436985,-0.4828173931258051,2411,0.24031522189960547
GBPUSD,22,3,1,,1586,-0.9129886506935528,-1.0269956091066699,823,0.4863912515188346,0.4007009407920785,2409,-0.4349107513490967
GBPUSD,22,3,-1,,1586,0.5129886506935526,0.5770467041223584,823,-0.8863912515188348,-0.7302306677687261,2409,0.03491075134909648
GBPUSD,23,3,1,,1587,0.5044108380592147,0.635555867141483,823,-0.7291616038882163,-0.620674152412999,2410,0.08315352697094265
GBPUSD,23,3,-1,,1587,-0.9044108380592142,-1.139554448604851,823,0.32916160388821647,0.28018768186749243,2410,-0.4831535269709422
GBPUSD,0,4,1,,1586,1.5960277427490543,2.063143371617566,825,-1.0998787878788134,-0.916198744949723,2411,0.6735379510576438
GBPUSD,0,4,-1,,1586,-1.9960277427490538,-2.5802129228182062,825,0.6998787878788136,0.5829988487260053,2411,-1.0735379510576435
GBPUSD,1,4,1,,1586,1.4335435056746362,2.0754425866949897,825,0.07054545454541815,0.07452455849851364,2411,0.9671505599336138
GBPUSD,1,4,-1,,1586,-1.833543505674636,-2.6545509509628102,825,-0.47054545454541796,-0.4970864881294789,2411,-1.3671505599336136
GBPUSD,2,4,1,,1583,-0.24365129500946292,-0.3983411725110527,825,-0.8349090909090838,-1.0330762554635822,2408,-0.4462209302325474
GBPUSD,2,4,-1,,1583,-0.15634870499053705,-0.25561171946201383,825,0.43490909090908425,0.5381355407379946,2408,0.04622093023254749
GBPUSD,3,4,1,,1580,-0.6879113924051524,-1.1387697922912556,825,-2.2699393939394086,-3.1932232823218993,2405,-1.2306029106029743
GBPUSD,3,4,-1,,1580,0.2879113924051524,0.4766090519030135,825,1.8699393939394087,2.63052574231751,2405,0.8306029106029742
GBPUSD,4,4,1,,1578,-1.0508871989860138,-2.092512080825502,821,-0.029841656516399605,-0.03677496873516616,2399,-0.7014589412254665
GBPUSD,4,4,-1,,1578,0.6508871989860139,1.296037603700065,821,-0.37015834348360055,-0.45615971422998813,2399,0.3014589412254664
